"dataset","preprocess","labels","method","ar","r","fm","afm","mi","nmi","ami"
"sipu/a1","std","labels0","Genie_g0.1:M25",0.9167453375191537,0.9921327109036345,0.9208850537368237,0.9167456080341642,2.815996907472386,0.9401172990497341,0.9388535893130927
"sipu/a1","std","labels0","Genie_g0.3:M25",0.798259576871113,0.9782251861731688,0.8166475679524142,0.8056292417275558,2.692562676099021,0.9213624401561737,0.9197125319526586
"sipu/a1","std","labels0","Genie_g0.5:M25",0.7129561820737919,0.9651341558297211,0.7510187370652186,0.7342989022116829,2.5183056327256907,0.8937300863839005,0.8916793437302253
"sipu/a1","std","labels0","Genie_g0.7:M25",0.4436968198975941,0.8983598977436923,0.5588313816616943,0.5174987777664763,2.0982708100928713,0.8090735594073856,0.8056274239904051
"sipu/a1","std","labels0","Genie_g1.0:M25",0.33156026758994916,0.8453384461487162,0.48325034375343673,0.42576009535207276,1.7058222253674225,0.7147515953854954,0.7100607672888261
"sipu/a1","std","labels0","GIc_A5_TC3:M25",0.9168769730351496,0.9921460486828944,0.9210095695893101,0.9168771634403531,2.8133140421626037,0.9392034588097627,0.9379205023882508
"sipu/a1","std","labels0","GIc_A5_TC11:M25",0.912003205570628,0.9916834500389019,0.9163794453703017,0.9120035891423371,2.8063758348859156,0.9369274830661339,0.9355964090872381
"sipu/a1","std","labels0","GIc_A1_TC3:M25",0.8029558205191911,0.9786806713348895,0.8213827704567919,0.810623546041331,2.691527391408953,0.9226095659353872,0.920999852463176
"sipu/a1","std","labels0","GIc_A1_TC11:M25",0.9147526352753239,0.991943536734467,0.9189919957913376,0.9147529935655413,2.810827377861382,0.9384087326192543,0.9371089297194368
"sipu/a1","std","labels0","GIc_A0_TC3:M25",0.8023413621494577,0.9786144270312326,0.8207964644553212,0.8100020406696954,2.69062316237778,0.9222974682037246,0.9206812692416491
"sipu/a1","std","labels0","GIc_A0_TC11:M25",0.9168769730351496,0.9921460486828944,0.9210095695893101,0.9168771634403531,2.8133140421626037,0.9392034588097627,0.9379205023882508
"sipu/a1","std","labels0","GIc_A0_TC0:M25",0.6965225694272748,0.9703329998888518,0.7125987632291412,0.6969948202512961,2.524822406072513,0.8476914945505658,0.8444481865202756
"sipu/a1","std","labels0","Genie_g0.1:M15",0.9321293435535597,0.9935871957319107,0.9355036710524642,0.932129535751726,2.8482471697797163,0.9508658112753313,0.9498289578742307
"sipu/a1","std","labels0","Genie_g0.3:M15",0.8894165155052257,0.989134600422363,0.8958890111924803,0.8902056730166023,2.805264656953965,0.9431717172506057,0.9419557643842972
"sipu/a1","std","labels0","Genie_g0.5:M15",0.6713202025464647,0.9573062131821718,0.7219733847210134,0.7021612888736554,2.460441506405793,0.8880161699880333,0.8859813131974167
"sipu/a1","std","labels0","Genie_g0.7:M15",0.42371139919356743,0.8891872846504391,0.547991383906949,0.5039988705576598,2.031062886864552,0.798576587499148,0.7951869073089407
"sipu/a1","std","labels0","Genie_g1.0:M15",0.3698385652738407,0.8648056018672892,0.511375646419075,0.4598664885131832,1.8371985402184945,0.7521559817885649,0.7482260339783843
"sipu/a1","std","labels0","GIc_A5_TC3:M15",0.9198115103348955,0.9924083583416694,0.9238096983323247,0.9198150553417147,2.830192103475235,0.9451730510541448,0.944015387341695
"sipu/a1","std","labels0","GIc_A5_TC11:M15",0.9044822839770665,0.9909160831388241,0.9092885740749239,0.9045087528451845,2.8167560009769934,0.9414380030213537,0.9401998390425076
"sipu/a1","std","labels0","GIc_A1_TC3:M15",0.9218164868718385,0.9925986439924419,0.9257143740679521,0.921819866485806,2.8332532159246107,0.9461839483129788,0.9450476525642971
"sipu/a1","std","labels0","GIc_A1_TC11:M15",0.9196902092046833,0.9923959097476936,0.923695314251407,0.9196941120561078,2.830534144211902,0.9453065831363455,0.9441517042928542
"sipu/a1","std","labels0","GIc_A0_TC3:M15",0.8888511157450438,0.989080582416361,0.8953464067835823,0.8896343050663194,2.8013979693568944,0.9418480980858452,0.9406038717384114
"sipu/a1","std","labels0","GIc_A0_TC11:M15",0.9196902092046833,0.9923959097476936,0.923695314251407,0.9196941120561078,2.830534144211902,0.9453065831363455,0.9441517042928542
"sipu/a1","std","labels0","GIc_A0_TC0:M15",0.6416023850219236,0.9646626653328887,0.6608560718011633,0.6422736475181589,2.4441307092705014,0.8218296459744583,0.8180271095026082
"sipu/a1","std","labels0","Genie_g0.1:M9",0.919066000691205,0.9923101033677892,0.9231326236680547,0.9190863899078214,2.845284303985898,0.950827133528631,0.9497877037716574
"sipu/a1","std","labels0","Genie_g0.3:M9",0.8876909099342588,0.9890436812270756,0.8939682328305422,0.8882241764344496,2.809779146072006,0.9431138409403439,0.9419019317386486
"sipu/a1","std","labels0","Genie_g0.5:M9",0.8162520293190333,0.9803174391463821,0.8329609139559648,0.8229978319385961,2.7400605117995602,0.935129419269543,0.9337136005830122
"sipu/a1","std","labels0","Genie_g0.7:M9",0.43922544413915143,0.8946773368900744,0.5598032757724982,0.5177019943528256,2.0707037564443502,0.8103261871989088,0.8072384578929618
"sipu/a1","std","labels0","Genie_g1.0:M9",0.2616385862920197,0.7949836612204068,0.4360453201972564,0.36481218622010525,1.7001114914390074,0.7175648010946988,0.7129217340917173
"sipu/a1","std","labels0","GIc_A5_TC3:M9",0.934666935155498,0.9938274980549072,0.9379147612235473,0.9346670755943224,2.8546444454712945,0.9529881533251534,0.9519961068009365
"sipu/a1","std","labels0","GIc_A5_TC11:M9",0.8961462719729836,0.9901356007558075,0.9013548612051583,0.8961641235308911,2.803196980346091,0.9366732178862713,0.9353349315521661
